지하철역,행정동,년분기,총승하차인원_평균_2019,총승하차인원_평균_2020,총승하차인원_평균
0,가리봉동,00,0.0,0.0,0.0
0,가양2동,00,0.0,0.0,0.0
0,가양3동,00,0.0,0.0,0.0
0,가회동,00,0.0,0.0,0.0
0,갈현1동,00,0.0,0.0,0.0
0,개봉2동,00,0.0,0.0,0.0
0,개봉3동,00,0.0,0.0,0.0
0,개포1동,00,0.0,0.0,0.0
0,개포4동,00,0.0,0.0,0.0
0,거여2동,00,0.0,0.0,0.0
0,고덕1동,00,0.0,0.0,0.0
0,고덕2동,00,0.0,0.0,0.0
0,고척1동,00,0.0,0.0,0.0
0,고척2동,00,0.0,0.0,0.0
0,교남동,00,0.0,0.0,0.0
0,구로1동,00,0.0,0.0,0.0
0,구산동,00,0.0,0.0,0.0
0,군자동,00,0.0,0.0,0.0
0,금호2·3가동 ,00,0.0,0.0,0.0
0,길음2동,00,0.0,0.0,0.0
0,낙성대동,00,0.0,0.0,0.0
0,난곡동,00,0.0,0.0,0.0
0,난향동,00,0.0,0.0,0.0
0,남가좌2동,00,0.0,0.0,0.0
0,남현동,00,0.0,0.0,0.0
0,노량진2동,00,0.0,0.0,0.0
0,답십리1동,00,0.0,0.0,0.0
0,답십리2동,00,0.0,0.0,0.0
0,대림1동,00,0.0,0.0,0.0
0,대림3동,00,0.0,0.0,0.0
0,대치4동,00,0.0,0.0,0.0
0,도림동,00,0.0,0.0,0.0
0,도봉1동,00,0.0,0.0,0.0
0,독산1동,00,0.0,0.0,0.0
0,독산2동,00,0.0,0.0,0.0
0,독산3동,00,0.0,0.0,0.0
0,독산4동,00,0.0,0.0,0.0
0,돈암1동,00,0.0,0.0,0.0
0,돈암2동,00,0.0,0.0,0.0
0,동선동,00,0.0,0.0,0.0
0,동화동,00,0.0,0.0,0.0
0,등촌2동,00,0.0,0.0,0.0
0,마천2동,00,0.0,0.0,0.0
0,망우3동,00,0.0,0.0,0.0
0,망원1동,00,0.0,0.0,0.0
0,망원2동,00,0.0,0.0,0.0
0,면목2동,00,0.0,0.0,0.0
0,면목3·8동 ,00,0.0,0.0,0.0
0,면목5동,00,0.0,0.0,0.0
0,면목7동,00,0.0,0.0,0.0
0,목4동,00,0.0,0.0,0.0
0,목5동,00,0.0,0.0,0.0
0,무악동,00,0.0,0.0,0.0
0,묵1동,00,0.0,0.0,0.0
0,문정1동,00,0.0,0.0,0.0
0,미성동,00,0.0,0.0,0.0
0,반포3동,00,0.0,0.0,0.0
0,방배4동,00,0.0,0.0,0.0
0,방배본동,00,0.0,0.0,0.0
0,방학2동,00,0.0,0.0,0.0
0,방학3동,00,0.0,0.0,0.0
0,번2동,00,0.0,0.0,0.0
0,번3동,00,0.0,0.0,0.0
0,보광동,00,0.0,0.0,0.0
0,보라매,00,0.0,0.0,0.0
0,부암동,00,0.0,0.0,0.0
0,북가좌1동,00,0.0,0.0,0.0
0,북가좌2동,00,0.0,0.0,0.0
0,북아현동,00,0.0,0.0,0.0
0,사당3동,00,0.0,0.0,0.0
0,사당5동,00,0.0,0.0,0.0
