adm_nm,Bus_Stop_Count
서울특별시 광진구 자양4동,13
서울특별시 동대문구 회기동,9
서울특별시 동대문구 휘경1동,13
서울특별시 동대문구 휘경2동,20
서울특별시 동대문구 청량리동,25
서울특별시 동대문구 용신동,39
서울특별시 동대문구 제기동,26
서울특별시 동대문구 전농1동,34
서울특별시 동대문구 전농2동,9
서울특별시 동대문구 답십리2동,15
서울특별시 동대문구 장안1동,28
서울특별시 동대문구 장안2동,36
서울특별시 동대문구 이문1동,24
서울특별시 동대문구 이문2동,13
서울특별시 동대문구 답십리1동,27
서울특별시 중랑구 면목2동,24
서울특별시 중랑구 면목4동,15
서울특별시 중랑구 면목5동,13
서울특별시 중랑구 면목7동,17
서울특별시 중랑구 상봉1동,15
서울특별시 중랑구 상봉2동,15
서울특별시 중랑구 중화1동,14
서울특별시 중랑구 중화2동,28
서울특별시 중랑구 묵1동,32
서울특별시 중랑구 묵2동,20
서울특별시 중랑구 망우3동,10
서울특별시 중랑구 신내1동,52
서울특별시 중랑구 신내2동,20
서울특별시 중랑구 면목본동,26
서울특별시 중랑구 면목3·8동,29
서울특별시 중랑구 망우본동,57
서울특별시 성북구 돈암1동,12
서울특별시 성북구 돈암2동,36
서울특별시 성북구 안암동,29
서울특별시 성북구 보문동,10
서울특별시 성북구 정릉1동,15
서울특별시 성북구 정릉2동,47
서울특별시 성북구 정릉3동,33
서울특별시 성북구 정릉4동,29
서울특별시 성북구 길음1동,27
서울특별시 성북구 길음2동,22
서울특별시 성북구 월곡1동,19
서울특별시 성북구 월곡2동,26
서울특별시 성북구 장위1동,36
서울특별시 성북구 장위2동,26
서울특별시 성북구 장위3동,33
서울특별시 성북구 성북동,47
서울특별시 성북구 삼선동,38
서울특별시 성북구 동선동,17
서울특별시 성북구 종암동,61
서울특별시 성북구 석관동,27
서울특별시 강북구 번1동,22
서울특별시 강북구 번2동,41
서울특별시 강북구 번3동,39
서울특별시 강북구 수유1동,38
서울특별시 강북구 수유2동,15
서울특별시 강북구 수유3동,22
서울특별시 강북구 삼양동,30
서울특별시 강북구 미아동,26
서울특별시 강북구 송중동,59
서울특별시 강북구 송천동,22
서울특별시 강북구 삼각산동,19
서울특별시 강북구 우이동,35
서울특별시 강북구 인수동,49
서울특별시 도봉구 쌍문1동,44
서울특별시 도봉구 쌍문2동,15
서울특별시 도봉구 쌍문3동,13
서울특별시 도봉구 쌍문4동,17
서울특별시 도봉구 방학1동,31
서울특별시 도봉구 방학2동,23
서울특별시 도봉구 방학3동,26
서울특별시 도봉구 창1동,19
서울특별시 도봉구 창2동,29
서울특별시 도봉구 창3동,16
서울특별시 도봉구 창4동,37
서울특별시 도봉구 창5동,18
서울특별시 도봉구 도봉1동,36
서울특별시 도봉구 도봉2동,43
서울특별시 노원구 월계1동,47
서울특별시 노원구 월계2동,38
서울특별시 노원구 월계3동,22
서울특별시 노원구 공릉2동,51
서울특별시 노원구 하계1동,38
서울특별시 노원구 하계2동,17
서울특별시 노원구 중계본동,17
서울특별시 노원구 중계1동,18
서울특별시 노원구 중계4동,8
서울특별시 노원구 상계1동,29
서울특별시 노원구 상계2동,24
서울특별시 노원구 상계5동,20
서울특별시 노원구 상계8동,14
서울특별시 노원구 상계9동,25
서울특별시 노원구 상계10동,22
서울특별시 노원구 상계3·4동,23
서울특별시 노원구 상계6·7동,30
서울특별시 노원구 중계2·3동,31
서울특별시 노원구 공릉1동,45
서울특별시 은평구 녹번동,27
서울특별시 은평구 불광1동,36
서울특별시 은평구 갈현1동,34
서울특별시 은평구 갈현2동,31
서울특별시 은평구 구산동,33
서울특별시 은평구 대조동,28
서울특별시 은평구 응암1동,23
서울특별시 은평구 응암2동,34
서울특별시 은평구 신사1동,27
서울특별시 은평구 신사2동,32
서울특별시 은평구 증산동,15
서울특별시 은평구 수색동,18
서울특별시 은평구 진관동,71
서울특별시 은평구 불광2동,25
서울특별시 은평구 응암3동,25
서울특별시 은평구 역촌동,44
서울특별시 서대문구 천연동,40
서울특별시 서대문구 홍제1동,24
서울특별시 서대문구 홍제3동,36
서울특별시 서대문구 홍제2동,8
서울특별시 서대문구 홍은1동,37
서울특별시 서대문구 홍은2동,69
서울특별시 서대문구 남가좌1동,13
서울특별시 서대문구 남가좌2동,31
서울특별시 서대문구 북가좌1동,12
서울특별시 서대문구 북가좌2동,32
서울특별시 서대문구 충현동,43
서울특별시 서대문구 북아현동,13
서울특별시 서대문구 신촌동,48
서울특별시 서대문구 연희동,57
서울특별시 마포구 용강동,20
서울특별시 마포구 대흥동,32
서울특별시 마포구 염리동,11
서울특별시 마포구 신수동,24
서울특별시 마포구 서교동,75
서울특별시 마포구 합정동,31
서울특별시 마포구 망원1동,23
서울특별시 마포구 망원2동,36
서울특별시 마포구 연남동,20
서울특별시 마포구 성산1동,27
서울특별시 마포구 성산2동,39
서울특별시 마포구 상암동,96
서울특별시 마포구 도화동,30
서울특별시 마포구 서강동,63
서울특별시 마포구 공덕동,38
서울특별시 마포구 아현동,18
서울특별시 양천구 목1동,25
서울특별시 양천구 목2동,14
서울특별시 양천구 목3동,10
서울특별시 양천구 목4동,13
서울특별시 양천구 신월1동,9
서울특별시 양천구 신월2동,10
서울특별시 양천구 신월3동,11
서울특별시 양천구 신월4동,8
서울특별시 양천구 신월5동,13
서울특별시 양천구 신월6동,14
서울특별시 양천구 신월7동,19
서울특별시 양천구 신정1동,27
서울특별시 양천구 신정2동,14
서울특별시 양천구 신정3동,59
서울특별시 양천구 신정6동,22
서울특별시 양천구 신정7동,26
서울특별시 양천구 목5동,28
서울특별시 양천구 신정4동,17
서울특별시 강서구 염창동,38
서울특별시 강서구 등촌1동,16
서울특별시 강서구 등촌2동,7
서울특별시 강서구 등촌3동,48
서울특별시 강서구 화곡본동,24
서울특별시 강서구 화곡2동,27
서울특별시 강서구 화곡3동,10
서울특별시 강서구 화곡4동,31
서울특별시 강서구 화곡6동,28
서울특별시 강서구 화곡8동,25
서울특별시 강서구 가양1동,54
서울특별시 강서구 가양2동,13
서울특별시 강서구 가양3동,18
서울특별시 강서구 발산1동,62
서울특별시 강서구 공항동,63
서울특별시 강서구 방화1동,44
서울특별시 강서구 방화2동,35
서울특별시 강서구 방화3동,20
서울특별시 강서구 화곡1동,29
서울특별시 강서구 우장산동,28
서울특별시 구로구 신도림동,43
서울특별시 구로구 구로1동,24
서울특별시 구로구 구로3동,45
서울특별시 구로구 구로4동,19
서울특별시 구로구 구로5동,32
서울특별시 구로구 고척1동,31
서울특별시 구로구 고척2동,35
서울특별시 구로구 개봉2동,25
서울특별시 구로구 개봉3동,21
서울특별시 구로구 오류1동,14
서울특별시 구로구 오류2동,85
서울특별시 구로구 수궁동,41
서울특별시 구로구 가리봉동,9
서울특별시 구로구 구로2동,39
서울특별시 구로구 개봉1동,47
서울특별시 금천구 가산동,102
서울특별시 금천구 독산1동,67
서울특별시 금천구 독산2동,10
서울특별시 금천구 독산3동,21
서울특별시 금천구 독산4동,16
서울특별시 금천구 시흥1동,40
서울특별시 금천구 시흥2동,19
서울특별시 금천구 시흥3동,14
서울특별시 금천구 시흥4동,24
서울특별시 금천구 시흥5동,36
서울특별시 영등포구 여의동,56
서울특별시 영등포구 당산1동,20
서울특별시 영등포구 당산2동,41
서울특별시 영등포구 양평1동,22
서울특별시 영등포구 양평2동,38
서울특별시 영등포구 신길1동,24
서울특별시 영등포구 신길3동,23
서울특별시 영등포구 신길4동,13
서울특별시 영등포구 신길5동,20
서울특별시 영등포구 신길6동,26
서울특별시 영등포구 신길7동,28
서울특별시 영등포구 대림1동,13
서울특별시 영등포구 대림2동,15
서울특별시 영등포구 대림3동,38
서울특별시 영등포구 영등포본동,17
서울특별시 영등포구 영등포동,49
서울특별시 영등포구 도림동,24
서울특별시 영등포구 문래동,43
서울특별시 동작구 노량진2동,13
서울특별시 동작구 상도1동,44
서울특별시 동작구 상도2동,37
서울특별시 동작구 상도3동,32
서울특별시 동작구 상도4동,36
서울특별시 동작구 사당1동,11
서울특별시 동작구 사당3동,26
서울특별시 동작구 사당4동,5
서울특별시 동작구 사당5동,23
서울특별시 동작구 대방동,52
서울특별시 동작구 신대방1동,15
서울특별시 동작구 신대방2동,30
서울특별시 동작구 흑석동,47
서울특별시 동작구 노량진1동,54
서울특별시 동작구 사당2동,29
서울특별시 관악구 보라매동,24
서울특별시 관악구 청림동,10
서울특별시 관악구 행운동,13
서울특별시 관악구 낙성대동,37
서울특별시 관악구 중앙동,14
서울특별시 관악구 인헌동,23
서울특별시 관악구 남현동,10
서울특별시 관악구 서원동,16
서울특별시 관악구 신원동,14
서울특별시 관악구 서림동,23
서울특별시 관악구 신사동,17
서울특별시 관악구 신림동,17
서울특별시 관악구 난향동,15
서울특별시 관악구 조원동,26
서울특별시 관악구 대학동,51
서울특별시 관악구 은천동,41
서울특별시 관악구 성현동,28
서울특별시 관악구 청룡동,20
서울특별시 관악구 난곡동,23
서울특별시 관악구 삼성동,30
서울특별시 관악구 미성동,35
서울특별시 서초구 서초1동,35
서울특별시 서초구 서초2동,45
서울특별시 서초구 서초3동,76
서울특별시 서초구 서초4동,37
서울특별시 서초구 잠원동,25
서울특별시 서초구 반포본동,4
서울특별시 서초구 반포1동,24
서울특별시 서초구 반포2동,18
서울특별시 서초구 반포3동,11
서울특별시 서초구 반포4동,37
서울특별시 서초구 방배본동,21
서울특별시 서초구 방배1동,22
서울특별시 서초구 방배2동,35
서울특별시 서초구 방배3동,45
서울특별시 서초구 방배4동,27
서울특별시 서초구 양재1동,74
서울특별시 서초구 양재2동,48
서울특별시 서초구 내곡동,62
서울특별시 강남구 신사동,14
서울특별시 강남구 논현1동,17
서울특별시 강남구 논현2동,26
서울특별시 강남구 삼성1동,30
서울특별시 강남구 삼성2동,21
서울특별시 강남구 대치1동,17
서울특별시 강남구 대치4동,14
서울특별시 강남구 역삼1동,46
서울특별시 강남구 역삼2동,26
서울특별시 강남구 도곡1동,18
서울특별시 강남구 도곡2동,22
서울특별시 강남구 개포1동,14
서울특별시 강남구 개포4동,28
서울특별시 강남구 일원본동,29
서울특별시 강남구 일원1동,15
서울특별시 강남구 일원2동,11
서울특별시 강남구 수서동,16
서울특별시 강남구 세곡동,66
서울특별시 강남구 압구정동,23
서울특별시 강남구 청담동,26
서울특별시 강남구 대치2동,33
서울특별시 강남구 개포2동,35
서울특별시 송파구 풍납1동,6
서울특별시 송파구 풍납2동,25
서울특별시 송파구 거여1동,7
서울특별시 송파구 거여2동,10
서울특별시 송파구 마천1동,12
서울특별시 송파구 마천2동,12
서울특별시 송파구 방이1동,10
서울특별시 송파구 방이2동,13
서울특별시 송파구 오륜동,22
서울특별시 송파구 오금동,44
서울특별시 송파구 송파1동,14
서울특별시 송파구 송파2동,11
서울특별시 송파구 석촌동,19
서울특별시 송파구 삼전동,14
서울특별시 송파구 가락본동,28
서울특별시 송파구 가락1동,13
서울특별시 송파구 가락2동,20
서울특별시 송파구 문정1동,18
서울특별시 송파구 문정2동,32
서울특별시 송파구 잠실본동,13
서울특별시 송파구 잠실4동,9
서울특별시 송파구 잠실6동,15
서울특별시 송파구 잠실7동,4
서울특별시 송파구 잠실2동,7
서울특별시 송파구 잠실3동,26
서울특별시 송파구 장지동,41
서울특별시 송파구 위례동,57
서울특별시 강동구 강일동,66
서울특별시 강동구 상일동,40
서울특별시 강동구 명일1동,18
서울특별시 강동구 명일2동,14
서울특별시 강동구 고덕1동,24
서울특별시 강동구 고덕2동,20
서울특별시 강동구 암사2동,7
서울특별시 강동구 암사3동,9
서울특별시 강동구 천호1동,23
서울특별시 강동구 천호3동,11
서울특별시 강동구 성내1동,21
서울특별시 강동구 성내2동,18
서울특별시 강동구 성내3동,15
서울특별시 강동구 둔촌1동,9
서울특별시 강동구 둔촌2동,32
서울특별시 강동구 암사1동,13
서울특별시 강동구 천호2동,27
서울특별시 강동구 길동,34
